"Clinic Name","Street","City/Town","Zip Code","Telephone","Lithotripsy","Physical Rehab","Surgical","Alcohol/Substance Use Disorder","Mental Health","Dental","Medical","Mobile Medical","Pharmacy","Birth Ctr","Mobile Medical MRI","Mobile Medical Lithotripsy","Radiation","Radiology (MRI)","Limited Service"
"FCP WHITINSVILLE CLINIC","76 CHURCH STREET","WHITINSVILLE","01588","(508)234-4181","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"FCP WORCESTER CLINIC","29 EAST MOUNTAIN STREET, 2ND FL","WORCESTER","01606","(508)755-0556","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"FORSYTH DENTAL HYGIENE CLN WORCESTE","10 LINCOLN SQUARE 3FL","WORCESTER","01608","(774)243-3410","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"GENTLES COUNSELING SERVICES LLC","100 GROVE STREET, SUITE 119","WORCESTER","01605","(774)420-2060","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"GODDARD SCHOOL SCI & TECHNOL SBHC","14 RICHARDS STREET","WORCESTER","01603","(508)860-7700","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"GREATER GARDNER COMMUNITY HEALTH CT","175 CONNORS STREET, 1ST, 2ND 3RD FL","GARDNER","01440","(978)410-6110","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"HELEN A BOWDITCH HEALTH CENTER","23 NORTH ASHLAND ST ELM PARK CMY SC","WORCESTER","01609","(508)756-3528","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"IHR-WORCESTER","29 E. MOUNTAIN STREET, SUITE 103","WORCESTER","01606","(617)661-3991","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"INSPIRE COUNSELING AND SUPPORT CENTER^","29 MAIN STREET, 2ND FLOOR","Leominster","01453","508-615-8960","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"L U K BEHAVIORAL HEALTH CLINIC","545 WESTMINSTER STREET","FITCHBURG","01420","(978)345-0685","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"L U K BEHAVIORAL HLTH CLINIC WORC","40 SOUTHBRIDGE STREET 4FL","WORCESTER","01608","(978)345-0685","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"LEOMINSTER COMMUNITY HEALTH AND URGENT CARE CENTER","165 MILL STREET","LEOMINSTER","01453","(978)878-8100","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"LEOMINSTER COMMUNITY HEALTH CENTER","14 MANNING AVENUE, 4TH FLOOR","LEOMINSTER","01453","(978)847-0110","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"MASS BEHAVIORAL HEALTH CENTER^","116 BELMONT STREET, SUITE 44","WORCESTER","01605","(508)219-7189","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MCPHS UNIVERSITY BMW CENTER^","10 LINCOLN SQUARE 1ST FL","WORCESTER","01608","(617)732-2237","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MEDEXPRESS UR CR-LEOMINSTER,MAIN ST","241 NORTH MAIN STREET","LEOMINSTER","01453","(978)840-5850","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"MEDPOST URGENT CARE - NORTHBOROUGH^","10002 SHOPS WAY, SUITE A","NORTHBOROUGH","01532","(508)919-8190","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MENTOR SOUTH BAY","324 CLARK STREET","WORCESTER","01606","(508)521-2200","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"MENTOR SOUTH BAY","80 ERDMAN WAY SUITE 208","LEOMINSTER","01453","(978)870-1840","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"MIGRANT HEALTH SERVICES^","165 MILL STREET","LEOMINSTER","01453","(978)878-8510","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MINUTECLINIC","100 WORCESTER STREET","NORTH GRAFTON","01536","(508)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","142 WORCESTER ROAD","CHARLTON","01507","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","24 W MAIN STREET","NORTHBOROUGH","01532","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","246 MILL STREET","LEOMINSTER","01453","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","323 NORTH MAIN STREET","UXBRIDGE","01569","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","44 WEST BOYLSTON STREET","WORCESTER","01605","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MINUTECLINIC","792 MAIN STREET","CLINTON","01510","(866)389-2727","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes"
"MULTICULTURAL WELLNESS","10 WINTHROP STREET, SUITE 317A-323","WORCESTER","01604","(508)752-4665","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"NEW BEGINNINGS WELLNESS CENTER INC","1280 MAIN STREET","WORCESTER","01603","(508)254-2384","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"NEW DAWN INTEGRATED BEHAVIORAL HC I","33 ELECTRIC AVENUE, SUITE 3B","FITCHBURG","01420","(978)627-3929","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"NEW ENGLAND MEDICAL GROUP - MILFORD","100 MEDWAY ROAD, SUITE 102 & 201","MILFORD","01757","(781)987-3490","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"NEW HORIZONS MEDICAL -FITCHBURG","285 MAIN STREET","FITCHBURG","01420","(978)488-0889","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No"
"NORTHEAST FAMILY SERVICES^","299 LINCOLN STREET, SUITE 201","WORCESTER","01605","(774)206-1125","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"NORTHEAST HEALTH SERVICES-MILFORD","25 BIRCH STREET, STE 204, BLDG B","MILFORD","01757","(508)568-1924","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"NULIFE  BEHAVORIAL  HEALTH","359 MAIN STREET","WORCESTER","01608","(508)203-6770","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"PLANNED PARENTHOOD LEAG MA CNT MA C","470 PLEASANT STREET","WORCESTER","01609","(508)854-3300","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"PLANNED PARENTHOOD LEAG MA-MILFORD","208 MAIN STREET","MILFORD","01757","(617)616-1600","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"PROMISES PATH - WORCESTER","1329 MAIN STREET","WORCESTER","01603","(508)834-8599","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"RADIATION THERAPY SRV @ C M CAN CTR","55 SAYLES STREET FIRST FLOOR","SOUTHBRIDGE","01550","(508)765-6830","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"REGENCY FAMILY HEALTH CLINIC","ONE EXCHANGE PLACE, THIRD FLOOR","WORCESTER","01608","(508)929-1600","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"RENEWAL INTEGRATIVE PSYCHOTHERAPIES, LLC^","90 MADISON STREET, UNIT 502","WORCESTER","01608","(508)981-3301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"REVIVE MED SPA","176 E. MAIN STREET, STE 4","WESTBOROUGH","01581","(617)755-2002","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"RIVERFRONT COUNSELING CENTER^","76 SUMMER STREET SUITE 139","FITCHBURG","01420","(978)275-9444","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"RIVERSIDE OUTPATIENT CENTER MILFORD","176 WEST STREET","MILFORD","01757","(508)478-0820","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"SEVEN HILLS BEHAVIORAL HEALTH","135 GOLD STAR BOULEVARD","WORCESTER","01606","(508)849-5600","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"SEVEN HILLS BEHAVIORAL HEALTH - MILFORD","219 EAST MAIN STREET, SUITE 102","MILFORD","01757","(508)488-2067","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"SEVEN HILLS BEHAVIORAL HEALTH - SOUTHBRIDGE","328 MAIN STREET","SOUTHBRIDGE","01550","(413)765-9101","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"SHIELD MRI @UMASS MEM-SHREWSBURY ST","214 SHREWSBURY STREET","WORCESTER","01604","(800)258-5380","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No"
"SHIELDS IMAGING AT HEYWOOD HEALTHCARE, LLC (MOBILE UNIT)^","2033 MAIN STREET, SUITE 101","ATHOL","01331","(866)258-4738","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SHIELDS MRI @UMASS MEM-MEMORIAL CMP","119 BELMONT STREET","WORCESTER","01604","(508)334-8698","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"SHIELDS MRI @UMASS MEM-UNIVERSTY CM","55 LAKE AVE NORTH SUITE H1-713-B","WORCESTER","01604","(508)754-6026","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"SHIELDS MRI AT HEYWOOD HEALTHCARE^","242 GREEN STREET, SUITE 1","GARDNER","01440","(866)998-2464","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SOUTH GARDNER COMMUNITY HEALTH CENTER & URGENT CARE CENTER","529 TIMPANY BOULEVARD","GARDNER","01440","(978)878-8100","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"SOUTH HIGH HLTH CENTER SATELLITE","170 APRICOT STREET","WORCESTER","01610","(413)860-7700","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"SPECTRUM HEALTH SYSTEMS INC","105 MERRICK STREET","WORCESTER","01609","(508)797-6100","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"SPECTRUM HEALTH SYSTEMS INC","176 MAIN STREET","SOUTHBRIDGE","01550","(413)765-5940","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"SPECTRUM HEALTH SYSTEMS INC","200 E. MAIN STREET","MILFORD","01757","(508)643-1873","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"SPECTRUM HEALTH SYSTEMS INC","585 LINCOLN STREET","WORCESTER","01609","(508)854-3320","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"SPECTRUM HEALTH SYSTEMS INC^","40 SPRUCE STREET","LEOMINSTER","01453","(978)466-3820","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SULLIVAN MIDDLE SCHOOL HLTH CTR SAT","140 APRICOT STREET","WORCESTER","01610","(413)799-3350","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"SUMMIT WELLNESS CLINIC","59 WILLIAM STREET, 1ST FL","WORCESTER","01609","(774)701-0670","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"SUNRISE BEHAVIORAL HEALTH CLINIC","255 PARK AVENUE,SUITE 500","WORCESTER","01609","(508)335-9908","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"THE COUNSELING CENTER AT MOC","49 NURSERY LANE, STE 201","FITCHBURG","01420","(978)785-5343","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"TUFTS DENTAL FAC @ WORCESTER","150 GODDARD MEMORIAL DR STE2 1ST FL","WORCESTER","01610","(508)423-4600","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"UMASS MEM HLTH ALLIANCE MRI CENTER","100 HOSPITAL ROAD","LEOMINSTER","01453","(978)466-2725","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No"
"UMASS MEMORIAL MRI&IMAGING CTR PET","275 NICHOLS ROAD 1ST FLOOR","FITCHBURG","01420","(978)343-5631","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"VALLEY HUMAN SERVICES","96 SOUTH STREET","WARE","01082","(413)967-6241","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"WALDEN BEHAVIORAL CARE - WESTBOROUGH^","112 TURNPIKE ROAD, SUITE 100","WESTBOROUGH","01581","(781)647-6749","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WASHBURN HOUSE","1398 MAIN STREET","WORCESTER","01603","(508)834-8599","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"WAYSIDE COMMUNITY COUNSELING CENTER","10 ASYLUM STREET","MILFORD","01757","(508)879-9800","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"WORCESTER EAST MIDDLE SCHOOL CLINIC","420 GRAFTON STREET","WORCESTER","01604","(508)860-7700","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"WORCESTER SURGICAL CENTER","300 GROVE STREET","WORCESTER","01605","(508)754-0700","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"YOUR OPTIONS MEDICAL MOBILE VAN^","11-15 SANDERSDALE ROAD","SOUTHBRIDGE","01550","(978)939-6654","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"

