The Commonwealth of Massachusetts,,,,,,,,,,,,,,,,,,,
Executive Office of Health and Human Services,,,,,,,,,,,,,,,,,,,
Department of Public Health,,,,,,,,,,,,,,,,,,,
Division of Health Care Facility Licensure and Certification,,,,,,,,,,,,,,,,,,,
"67 Forest Street, Marlborough, MA 01752",,,,,,,,,,,,,,,,,,,
617-753-8000,,,,,,,,,,,,,,,,,,,
"November 14, 2023",,,,,,,,,,,,,,,,,,,
Massachusetts Licensed Clinics and Services Provided,,,,,,,,,,,,,,,,,,,
"^Facility licensed under a parent facility, call DPH at 617-753-8000 for more information on services provided",,,,,,,,,,,,,,,,,,,
~This clinic is in a non-licensed category and additional information is not provided by DPH.,,,,,,,,,,,,,,,,,,,
* Further information on the services provided by these facilities is forthcoming and will be updated regularly.,,,,,Services Provided,,,,,,,,,,,,,,
Clinic Name,Street,City/Town,Zip Code,Telephone,Lithotripsy,Physical Rehab,Surgical,Alcohol/      Substance Use Disorder,Mental Health,Dental ,Medical,Mobile Medical,Pharmacy,Birth Ctr,Mobile Medical MRI,Mobile Medical Lithotripsy,Radiation,Radiology (MRI),Limited Service
ALLIANCE RADIATION ONCLGY @ ANNA JA,1 WALLACE BASHAW JR WAY STE 1001,NEWBURYPORT,01950,(978)997-1352,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AMERICARE BEHAVIORAL HEALTH LLC,"599 CANAL STREET, 5TH UNIT 1 & 2",LAWRENCE,01840,(978)399-6601,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
AMERICARE BEHAVIORAL HEALTH*,144 MERRIMACK STREET; SUITE 304,LAWRENCE,01840,(978)399-6601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARBOUR COUNSELING JAMAICA PLAIN,"157 GREEN STREET, FLOORS 1, 2 & 3",JAMAICA PLAIN,02130,(617)390-1485,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,1082 DAVOL STREET,FALL RIVER,02720,(781)322-1503,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,10-I ROESSLER ROAD,WOBURN,01801,(508)678-2833,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,116 SUMMER STREET,HAVERHILL,01830,(978)322-1503,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,"21 GEORGE STREET, 1ST FLOOR",LOWELL,01852,(978)322-1503,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,"38 POND STREET, SUITE 101",FRANKLIN,02038,(508)322-1503,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,384 WASHINGTON STREET,NORWELL,02061,(781)771-6550,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,411 CHANDLER STREET,WORCESTER,01608,(508)322-1503,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES,"599 CANAL STREET, 1 EAST",LAWRENCE,01840,(978)322-1503,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARBOUR COUNSELING SERVICES/BRIGHTON,14 FORDHAM ROAD SECOND FLOOR,ALLSTON,02135,(617)322-1503,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARBOUR MEDFORD COUNSELING SERVICES,100 GEORGE P. HASSETT DRIVE,MEDFORD,02155,(781)932-8114,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
ARLINGTON YOUTH CONSULTATION CTR,670R MASSACHUSETTS AVENUE,ARLINGTON,02476,(781)316-3255,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ASPIRE HEALTH ALLIANCE,"460 QUINCY AVENUE, 3RD FLOOR",QUINCY,02169,(617)847-1950,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ASPIRE HEALTH ALLIANCE OUTPATIENT SERVICES,215 SANDWICH ROAD,WAREHAM,02571,(508)295-3600,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ASPIRE HEALTH ALLIANCE OUTPATIENT SERVICES,64 INDUSTRIAL PARK ROAD,PLYMOUTH,02360,(617)847-1950,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ASPIRE HEALTH ALLIANCE OUTPATIENT SERVICES,769 PLAIN STREET,MARSHFIELD,02050,(781)834-7433,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ATLANTIC DENTAL,150 MAIN STREET #6B,PEABODY,01960,(978)741-8020,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
ATLANTIC MENTAL HEALTH,"260A FORDHAM ROAD, SUITE 900",WILMINGTON,01887,(978)471-8124,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ATRIUS HEALTH-BRAINTREE PRACTICE,111 GROSSMAN DRIVE,BRAINTREE,02184,(781)849-1000,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-BURLINGTON PRACTICE,20 WALL STREET 1ST FLOOR,BURLINGTON,01803,(781)221-2506,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-CAMBRIDGE PRACTICE,1611 CAMBRIDGE STREET,CAMBRIDGE,02238,(617)661-5500,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-CHELMSFORD PRACTICE,228 BILLERICA ROAD,CHELMSFORD,01824,(978)250-6000,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
ATRIUS HEALTH-CONCORD PACTICE,330 BAKER AVENUE,CONCORD,01742,(978)287-9300,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
ATRIUS HEALTH-COPLEY PRACTICE,165 DARTMOUTH STREET,BOSTON,02116,(617)859-5000,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-KENMORE PRACTICE,"133 BROOKLINE AVE, 5TH FLOOR",BOSTON,02215,(617)261-3100,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-MEDFORD PRACTICE,26 CITY HALL MALL,MEDFORD,02155,(781)306-5100,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-PEABODY PRACTICW,2 ESSEX CENTER DRIVE,PEABODY,01960,(978)532-6000,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-POST OFFICE SQUARE PRACTICE,147 MILK STREET,BOSTON,02109,(617)654-7000,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-QUINCY PRACTICE,1250 HANCOCK STREET (SOUTH TOWER),QUINCY,02169,(617)730-4740,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-SOMERVILLE PRACTICE,40 HOLLAND STREET,SOMERVILLE,02144,(617)629-6000,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-WATERTOWN PRACTICE,485 ARSENAL STREET,WATERTOWN,02172,(617)972-5100,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-WELLESLEY PRACTICE,230 WORCESTER STREET,WELLESLEY,02181,(781)895-1200,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HEALTH-WEST ROXBURY PRACTICE,291 INDEPENDENCE DRIVE 1ST FLOOR,BOSTON,02167,(617)325-2800,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ATRIUS HELATH-NORWOOD PRACTCE,1177 BOSTON PROVIDENCE TURNPIKE,NORWOOD,02062,(781)431-5400,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
AUDIOLOGICAL EVALUATION UNIT,848 CENTRAL STREET,FRAMINGHAM,01701,(508)879-5110,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
B&W'S STURDY MEM RADIATION ONCGLY C,89 FORBES BOULEVARD SUITE 1500,MANSFIELD,02048,(508)261-2000,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
B.U. DENTAL HEALTH CENTER,930 COMMONWEALTH AVE SOUTH STE 101,BOSTON,02215,(617)358-1000,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
B.U. GOLDMAN SCHOOL OF DENTAL MEDIC,"635 ALBANY STREET, FLOORS 1-7",BOSTON,02118,(617)638-5127,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
BANYAN TREATMENT CENTER MASS LLC,66-K CONCORD STREET,WILMINGTON,01887,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BANYAN TREATMENT CTR MASSACHUSETTS LLC,66 KJH CONCORD STREET,WILMINGTON,01887,(978)737-7272,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BAY COAST BEHAVIORAL,"140 WOOD ROAD, SUITE 403",BRAINTREE,02184,(774)294-5722,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"BAY COAST BEHAVIORAL, LLC","170 PLEASANT STREET, #100",FALL RIVER,02721,(774)294-5722,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BAY COVE,116 CAMP STREET,BARNSTABLE,02601,(617)371-3000,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BAY STATE MULTI SVC CTR,1120 HANCOCK STREET,QUINCY,02169,(617)471-8400,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BAYSTATE FRANKLIN MRI CENTER,164 HIGH STREET,GREENFIELD,01301,(413)772-2002,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
BAYSTATE MRI & IMAGING CENTER LLC,80 WASON AVENUE,SPRINGFIELD,01107,(413)730-9200,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BEHAVIORAL NUTRITION INC,1266 FURNACE BROOK PARKWAY STE 404,QUINCY,02169,(617)595-7044,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BELLO CORPO MED SPA INC,100 TRADE CENTER DRIVE SUITE 350,WOBURN,01801,(617)293-3446,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"BETH ISRAEL LAHEY HEALTH URGENT CARE - DEDHAM & OB/GYN, HARVARD MEDICAL FACULTY PHYSICIANS AT BIDMC","910 WASHINGTON STREET, LEVEL 1",DEDHAM,02026,(781)453-7200,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BETHANY HEALTH CARE CLINIC,97 BETHANY ROAD,FRAMINGHAM,01701,(508)872-6750,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
BEVERLY CLINIC,800 CUMMINGS CENTER SUITE 266T,BEVERLY,01915,(978)745-2440,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BHCHP FAMILY CARE CLINIC,"1785 COLUMBUS AVENUE, STE 200",BOSTON,02119,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BHN CARSON CENTER FOR WELLBEING - WESTFIELD,77 MILL STREET,WESTFIELD,01085,(413)568-1421,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BHN CENTER FOR WELLBEING - SPRINGFIELD,"417 LIBERTY STREET, UPPER LL, 2ND F",SPRINGFIELD,01104,(413)732-7419,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BHN CENTER FOR WELLBEING - SPRINGFIELD SOUTH^,"395 LIBERTY STREET, 1ST FL",SPRINGFIELD,01104,(413)732-1333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLUE HILLS RECOVERY,474 GROVE STREET,WORCESTER,01605,(508)403-7877,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BLUESKIES WELLNESS INC,"232 PLEASANT STREET, 2ND FL",METHUEN,01844,(978)655-1823,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BNBA BEHAVIORAL CENTER,"116 BELMONT STREET, SUITE 26",WORCESTER,01605,(508)979-5557,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BOSTON ASAP,"25 KINGSTON STREET, 3RD FLOOR",BOSTON,02108,(617)482-5292,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BOSTON BREAST DIAGNOSTIC CENTER LLC,165 WORCESTER STREET,WELLESLEY HILLS,02481,(617)553-5300,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS @ FR BILLS PLACE,38 BROAD STREET,QUINCY,02171,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS @ HOPEFOUND,170 MORTON STREET JAMAICA PLAIN,BOSTON,02130,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS @ MASS GENERAL,55 FRUIT STREET,BOSTON,02114,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS @ SOUTH HMPTN ST,112 SOUTH HAMPTON STREET,BOSTON,02118,(617)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS@NE SH HOMELESS V,17 COURT STREET,BOSTON,02108,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HC HOMELESS@ST FRANCIS HOUSE,39 BOYLSTON STREET,BOSTON,02118,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HEAL CHP WOMEN'S CLINIC,363 ALBANY STREET,BOSTON,02118,(617)414-7779,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
BOSTON HEALTH CARE HOMELESS PROGRAM,444 HARRISON AVENUE,BOSTON,02118,(617)414-7779,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON HEALTH CARE HOMELESS PROGRAM,"780 ALBANY STREET, 1ST & 2ND FLOOR",BOSTON,02118,(617)414-7779,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
BOSTON HLTHCRE FOR THE HMLSS @STACY,"461 WALNUT AVENUE, FIRST FLOOR",JAMAICA PLAIN,02130,(857)654-1000,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BOSTON IVF INC,130 SECOND AVE 1ST FLOOR,WALTHAM,02451,(781)434-6400,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
BOSTON UNIVERSITY REHAB SERVICES,"635 COMMONWEALTH AVENUE, 6TH FLOOR",BOSTON,02215,(617)353-2720,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
BPHC-SOUTH BOSTON COLLABORATIVE BEHAVIORAL HEALTH SERVICES CLINIC,"25 JAMES O'NEIL STREET, 1ST FLOOR",BOSTON,02127,(617)534-4222,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIDGE COUNSELING CENTER (THE),"288 GROVE STREET, 3RD FL, STE A & B",WORCESTER,01605,(508)755-0333,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"BRIDGEWELL COUNSELING SERVICES, AMESBURY",24 MORRILL PLACE,AMESBURY,01913,(978)674-8767,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIDGEWELL COUNSELING SRVCES-LOWELL,35 MARKET STREET,LOWELL,01852,(978)459-0389,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BRIEN CENTER-ACUTE CARE SRVS (THE)^,66 WEST STREET,PITTSFIELD,01201,(413)499-0412,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIEN CTR MH & SUBSTANCE ABUSE SRVS,124 AMERICAN LEGION DRIVE,NORTH ADAMS,01247,(413)449-0412,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIEN CTR MH & SUBSTANCE ABUSE SRVS,251 FENN STREET,PITTSFIELD,01201,(413)499-0412,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIEN CTR MH & SUBSTANCE ABUSE SRVS,"334 FENN STREET, 1ST FLOOR",PITTSFIELD,01201,(413)499-0412,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIEN CTR MH & SUBSTANCE ABUSE SRVS,60 COTTAGE STREET,GREAT BARRINGTON,01230,(413)499-0412,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIEN CTR MH & SUBSTANCE ABUSE SVCS,333 EAST STREET,PITTSFIELD,01201,(413)499-0412,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHAM&WOMEN'S RADIATN ONCOL ASSOC,20 PROSPECT STREET,MILFORD,01757,(508)488-3800,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BRIGHTON ALLSTON MENTAL HLTH ASSOC,"77B WARREN STREET, BASEMENT",BOSTON,02135,(617)787-1901,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTSIDE COUNSELING ASSOCIATES,"300 STAFFORD STREET, ROOM 310",SPRINGFIELD,01104,(413)539-2467,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH,339 MASSACHUSETTS AVENUE,ARLINGTON,02474,(617)539-6780,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH - STURDY MEMORIAL ATTLEBORO,"7 RAILROAD AVENUE, UNIT B",ATTLEBORO,02703,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH BRIGHTON,71/73 WASHINGTON STREET,BRIGHTON,02135,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH BROCKTON,231 MAIN STREET,BROCKTON,02301,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH HAVERHILL^,108 MERRIMACK STREET,HAVERHILL,01830,(339)368-7696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIGHTVIEW HEALTH HYANNIS^,"261 NORTH STREET, BUILDING B",hyannis,02601,(339)368-7696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIGHTVIEW HEALTH LAWRENCE - RIVERWALK,"290 MERRIMACK STREET, UNIT 106",LAWRENCE,01843,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH LOWELL^,"77 E MERRIMACK STREET, UNIT 22",LOWELL,01852,(339)368-7696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIGHTVIEW HEALTH LYNN^,80-112 MUNROE STREET,LYNN,01901,(339)368-7696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIGHTVIEW HEALTH PLYMOUTH^,23 ALDRIN ROAD,PLYMOUTH,02360,(339)368-7696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRIGHTVIEW HEALTH SOMERVILLE,401 HIGHLAND AVENUE,SOMERVILLE,02144,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BRIGHTVIEW HEALTH STOUGHTON,489 PAGE STREET,STOUGHTON,02072,(339)368-7696,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
BROCKTON FAMILY PLANNING,111 TORREY STREET,BROCKTON,02301,(508)586-3800,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BROCKTON NEIGHBORHOOD HC @ VICENTES,158 PLEASANT STREET,BROCKTON,02301,(508)559-6699,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
BROCKTON NEIGHBORHOOD HEALTH CENTER,63 MAIN STREET,BROCKTON,02401,(508)559-6699,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
